"filename", "language", "PHP", "JavaScript", "SCSS", "JSON", "Markdown", "XML", "CSS", "MS SQL", "comment", "blank", "total"
"c:\xampp\htdocs\laravel\StoreYourVintage\README.md", "Markdown", 0, 0, 0, 0, 45, 0, 0, 0, 0, 22, 67
"c:\xampp\htdocs\laravel\StoreYourVintage\app\Http\Controllers\AuditController.php", "PHP", 36, 0, 0, 0, 0, 0, 0, 0, 3, 6, 45
"c:\xampp\htdocs\laravel\StoreYourVintage\app\Http\Controllers\AuthController.php", "PHP", 130, 0, 0, 0, 0, 0, 0, 0, 15, 27, 172
"c:\xampp\htdocs\laravel\StoreYourVintage\app\Http\Controllers\Auth\ConfirmPasswordController.php", "PHP", 13, 0, 0, 0, 0, 0, 0, 0, 11, 8, 32
"c:\xampp\htdocs\laravel\StoreYourVintage\app\Http\Controllers\Auth\ForgotPasswordController.php", "PHP", 8, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"c:\xampp\htdocs\laravel\StoreYourVintage\app\Http\Controllers\Auth\LoginController.php", "PHP", 26, 0, 0, 0, 0, 0, 0, 0, 18, 9, 53
"c:\xampp\htdocs\laravel\StoreYourVintage\app\Http\Controllers\Auth\RegisterController.php", "PHP", 43, 0, 0, 0, 0, 0, 0, 0, 33, 11, 87
"c:\xampp\htdocs\laravel\StoreYourVintage\app\Http\Controllers\Auth\ResetPasswordController.php", "PHP", 9, 0, 0, 0, 0, 0, 0, 0, 10, 6, 25
"c:\xampp\htdocs\laravel\StoreYourVintage\app\Http\Controllers\Auth\VerificationController.php", "PHP", 15, 0, 0, 0, 0, 0, 0, 0, 21, 7, 43
"c:\xampp\htdocs\laravel\StoreYourVintage\app\Http\Controllers\CategoryController.php", "PHP", 46, 0, 0, 0, 0, 0, 0, 0, 7, 10, 63
"c:\xampp\htdocs\laravel\StoreYourVintage\app\Http\Controllers\Controller.php", "PHP", 9, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13
"c:\xampp\htdocs\laravel\StoreYourVintage\app\Http\Controllers\CustomerController.php", "PHP", 32, 0, 0, 0, 0, 0, 0, 0, 4, 7, 43
"c:\xampp\htdocs\laravel\StoreYourVintage\app\Http\Controllers\HomeController.php", "PHP", 14, 0, 0, 0, 0, 0, 0, 0, 10, 5, 29
"c:\xampp\htdocs\laravel\StoreYourVintage\app\Http\Controllers\OrderController.php", "PHP", 12, 0, 0, 0, 0, 0, 0, 0, 1, 4, 17
"c:\xampp\htdocs\laravel\StoreYourVintage\app\Http\Controllers\ProductController.php", "PHP", 131, 0, 0, 0, 0, 0, 0, 0, 13, 22, 166
"c:\xampp\htdocs\laravel\StoreYourVintage\app\Http\Controllers\UserController.php", "PHP", 87, 0, 0, 0, 0, 0, 0, 0, 13, 19, 119
"c:\xampp\htdocs\laravel\StoreYourVintage\app\Mail\ResetPassword.php", "PHP", 33, 0, 0, 0, 0, 0, 0, 0, 18, 9, 60
"c:\xampp\htdocs\laravel\StoreYourVintage\app\Mail\UsersCreateMail.php", "PHP", 35, 0, 0, 0, 0, 0, 0, 0, 22, 9, 66
"c:\xampp\htdocs\laravel\StoreYourVintage\app\Models\Audit.php", "PHP", 18, 0, 0, 0, 0, 0, 0, 0, 0, 6, 24
"c:\xampp\htdocs\laravel\StoreYourVintage\app\Models\Category.php", "PHP", 14, 0, 0, 0, 0, 0, 0, 0, 0, 6, 20
"c:\xampp\htdocs\laravel\StoreYourVintage\app\Models\Color.php", "PHP", 14, 0, 0, 0, 0, 0, 0, 0, 0, 6, 20
"c:\xampp\htdocs\laravel\StoreYourVintage\app\Models\Customer.php", "PHP", 23, 0, 0, 0, 0, 0, 0, 0, 0, 8, 31
"c:\xampp\htdocs\laravel\StoreYourVintage\app\Models\Order.php", "PHP", 8, 0, 0, 0, 0, 0, 0, 0, 0, 5, 13
"c:\xampp\htdocs\laravel\StoreYourVintage\app\Models\Product.php", "PHP", 71, 0, 0, 0, 0, 0, 0, 0, 0, 17, 88
"c:\xampp\htdocs\laravel\StoreYourVintage\app\Models\ReturnOrder.php", "PHP", 8, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12
"c:\xampp\htdocs\laravel\StoreYourVintage\app\Models\Size.php", "PHP", 15, 0, 0, 0, 0, 0, 0, 0, 0, 6, 21
"c:\xampp\htdocs\laravel\StoreYourVintage\app\Models\State.php", "PHP", 12, 0, 0, 0, 0, 0, 0, 0, 0, 5, 17
"c:\xampp\htdocs\laravel\StoreYourVintage\app\Models\User.php", "PHP", 30, 0, 0, 0, 0, 0, 0, 0, 15, 7, 52
"c:\xampp\htdocs\laravel\StoreYourVintage\app\Providers\AppServiceProvider.php", "PHP", 12, 0, 0, 0, 0, 0, 0, 0, 10, 5, 27
"c:\xampp\htdocs\laravel\StoreYourVintage\bootstrap\app.php", "PHP", 14, 0, 0, 0, 0, 0, 0, 0, 2, 3, 19
"c:\xampp\htdocs\laravel\StoreYourVintage\bootstrap\providers.php", "PHP", 4, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"c:\xampp\htdocs\laravel\StoreYourVintage\composer.json", "JSON", 0, 0, 0, 67, 0, 0, 0, 0, 0, 1, 68
"c:\xampp\htdocs\laravel\StoreYourVintage\composer.lock", "JSON", 0, 0, 0, 8763, 0, 0, 0, 0, 0, 1, 8764
"c:\xampp\htdocs\laravel\StoreYourVintage\config\app.php", "PHP", 22, 0, 0, 0, 0, 0, 0, 0, 82, 23, 127
